Tiempo,Fuerza
34.468,-0.48
34.558,-0.48
34.649,-0.1
34.739,7.47
34.829,30.47
34.919,67.58
35.009,136.68
35.099,207.02
35.189,214.56
35.279,187.28
35.369,150.46
35.46,121.84
35.55,108.52
35.641,98.88
35.731,81.91
35.821,47.52
35.911,27.94
36.001,22.78
36.091,21.96
36.182,21.36
36.272,21.03
36.362,21.07
36.452,20.8
36.542,19.93
36.632,18.95
36.722,18.06
36.812,17.19
36.903,16.29
36.994,15.03
37.084,13.59
37.174,12.03
37.264,10.29
37.354,8.32
37.444,5.97
37.534,3.54
37.624,1.49
37.714,0.27
37.805,-0.23
37.895,-0.38
37.985,-0.43
38.075,-0.45
38.165,-0.46
38.256,-0.47
38.346,-0.48
38.436,-0.48
38.526,-0.48
38.617,-0.48
38.707,-0.48
38.797,-0.48
38.887,-0.47
38.977,-0.48
39.067,-0.48
39.157,-0.48
39.247,-0.48
39.337,-0.48
39.428,-0.48
39.518,-0.48
39.609,-0.47
39.699,-0.47
39.789,-0.47
39.879,-0.48
39.969,-0.48
40.059,-0.48
40.15,-0.48
40.24,-0.48
40.33,-0.48
40.42,-0.48
40.51,-0.48
40.6,-0.48
40.69,-0.47
40.781,-0.47
40.871,-0.48
40.962,-0.48
41.052,-0.48
41.142,-0.49
41.232,-0.49
41.322,-0.48
41.412,-0.48
41.502,-0.48
41.592,-0.48
41.682,-0.48
41.773,-0.48
41.863,-0.48
41.953,-0.48
42.044,-0.48
42.134,-0.48
42.224,-0.48
42.314,-0.48
42.404,-0.48
42.494,-0.48
42.585,-0.48
42.675,-0.48
42.765,-0.48
42.855,-0.48
42.945,-0.49
43.035,-0.48
43.125,-0.48
43.215,-0.48
43.307,-0.48
43.397,-0.48
43.487,-0.48
43.577,-0.49
43.667,-0.49
43.757,-0.48
43.847,-0.48
43.937,-0.48
44.027,-0.48
44.118,-0.48
44.208,-0.49
44.298,-0.49
44.388,-0.49
44.478,-0.48
44.568,-0.48
44.659,-0.48
44.749,-0.48
44.839,-0.48
44.93,-0.48
45.02,-0.48
45.11,-0.49
45.2,-0.49
45.29,-0.49
45.38,-0.49
45.47,-0.48
45.56,-0.49
45.65,-0.49
45.741,-0.49
45.831,-0.49
45.921,-0.49
46.012,-0.49
46.102,-0.48
46.192,-0.48
46.282,-0.49
46.372,-0.49
46.462,-0.48
46.553,-0.48
46.643,-0.49
46.733,-0.48
46.823,-0.48
46.913,-0.48
47.003,-0.48
47.093,-0.48
47.183,-0.48
47.273,-0.48
47.365,-0.48
47.455,-0.48
47.545,-0.48
47.635,-0.48
47.725,-0.48
47.815,-0.48
47.905,-0.48
47.995,-0.48
48.086,-0.48
48.176,-0.48
48.266,-0.48
48.356,-0.48
48.447,-0.48
48.537,-0.48
48.627,-0.49
48.717,-0.48
48.807,-0.49
48.898,-0.49
